# mapping_set_id: "https://w3id.org/lmodel/fluxnova-bpm-platform/mappings/fluxnova_ai_provenance_to_nexus.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "Crosswalk from Fluxnova BPM AI Provenance overlay to IBM AI Atlas Nexus, W3C AIRO, DPV-AI, W3C PROV, schema.org, Croissant, DQV, and MLS"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-15"
# subject_source: "https://w3id.org/lmodel/fluxnova-bpm-platform/ai-provenance/"
# curie_map:
#   fluxnova_bpm_ai_provenance: "https://w3id.org/lmodel/fluxnova-bpm-platform/ai-provenance/"
#   fluxnova_bpm_provenance: "https://w3id.org/lmodel/fluxnova-bpm-platform/provenance/"
#   linkml: "https://w3id.org/linkml/"
#   nexus: "https://ibm.github.io/ai-atlas-nexus/ontology/"
#   airo: "https://w3id.org/airo#"
#   dpv: "https://w3id.org/dpv#"
#   dpv_ai: "https://w3id.org/dpv/ai#"
#   dpv_risk: "https://w3id.org/dpv/risk#"
#   dqv: "http://www.w3.org/ns/dqv#"
#   cr: "http://mlcommons.org/croissant/"
#   mls: "http://www.w3.org/ns/mls#"
#   prov: "http://www.w3.org/ns/prov#"
#   schema: "http://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
fluxnova_bpm_ai_provenance:AiAgent	AiAgent	skos:exactMatch	nexus:AiAgent		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiAgent	AiAgent	skos:exactMatch	airo:AIAgent		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiAgent	AiAgent	skos:exactMatch	prov:SoftwareAgent		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiAgent	AiAgent	skos:relatedMatch	dpv_ai:AISystem		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiModelDescriptor	AiModelDescriptor	skos:closeMatch	nexus:LargeLanguageModel		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiModelDescriptor	AiModelDescriptor	skos:exactMatch	nexus:AiModel		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiModelDescriptor	AiModelDescriptor	skos:exactMatch	airo:AIModel		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiModelDescriptor	AiModelDescriptor	skos:relatedMatch	schema:SoftwareApplication		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiModelInvocation	AiModelInvocation	skos:exactMatch	prov:Activity		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class - no nexus equivalent; retrospective per-invocation
fluxnova_bpm_ai_provenance:AiModelInvocation	AiModelInvocation	skos:exactMatch	schema:CreateAction		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:PromptMessage	PromptMessage	skos:relatedMatch	schema:Message		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class - no nexus or airo equivalent
fluxnova_bpm_ai_provenance:ToolCall	ToolCall	skos:exactMatch	schema:Action		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:ToolCall	ToolCall	skos:relatedMatch	prov:Activity		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:EvaluationResult	EvaluationResult	skos:exactMatch	nexus:AiEvalResult		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:EvaluationResult	EvaluationResult	skos:exactMatch	dqv:QualityMeasurement		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:EvaluationResult	EvaluationResult	skos:relatedMatch	mls:ModelEvaluation		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:EvaluationResult	EvaluationResult	skos:relatedMatch	schema:PropertyValue		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiDataset	AiDataset	skos:exactMatch	nexus:Dataset		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiDataset	AiDataset	skos:exactMatch	schema:Dataset		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiDataset	AiDataset	skos:exactMatch	cr:Dataset		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:AiDataset	AiDataset	skos:exactMatch	prov:Entity		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:ModelArtifact	ModelArtifact	skos:exactMatch	schema:SoftwareSourceCode		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:ModelArtifact	ModelArtifact	skos:relatedMatch	nexus:LargeLanguageModel		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class - artifact vs. runtime descriptor
fluxnova_bpm_ai_provenance:ModelArtifact	ModelArtifact	skos:relatedMatch	prov:Entity		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
fluxnova_bpm_ai_provenance:parameter_count	parameter_count	skos:exactMatch	nexus:numParameters		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
fluxnova_bpm_ai_provenance:training_token_count	training_token_count	skos:exactMatch	nexus:numTrainingTokens		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
