# mapping_set_id: "https://w3id.org/lmodel/mappings/attack.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel attack LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://w3id.org/lmodel/attack"
# curie_map:
#   PATO: "http://purl.obolibrary.org/obo/PATO_"
#   attack: "https://w3id.org/lmodel/attack/"
#   capex: "https://lmodel.github.io/capex/"
#   linkml: "https://w3id.org/linkml/"
#   oscal: "https://lmodel.github.io/oscal/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   spdx: "https://lmodel.github.io/spdx/"
#   stix: "https://w3id.org/lmodel/stix/"
#   unified_cyber_ontology: "https://w3id.org/lmodel/uco-master/"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
attack:ExternalReference	ExternalReference	skos:exactMatch	unified_cyber_ontology:ExternalReference		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Directory	Directory	skos:exactMatch	unified_cyber_ontology:Directory		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:DomainName	DomainName	skos:exactMatch	unified_cyber_ontology:DomainName		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:EmailAddr	EmailAddr	skos:closeMatch	unified_cyber_ontology:EmailAddress		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:EmailMessage	EmailMessage	skos:exactMatch	unified_cyber_ontology:EmailMessage		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:File	File	skos:exactMatch	unified_cyber_ontology:File		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Ipv4Addr	Ipv4Addr	skos:closeMatch	unified_cyber_ontology:IPv4Address		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Ipv6Addr	Ipv6Addr	skos:closeMatch	unified_cyber_ontology:IPv6Address		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:MacAddr	MacAddr	skos:closeMatch	unified_cyber_ontology:MACAddress		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Mutex	Mutex	skos:exactMatch	unified_cyber_ontology:Mutex		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Process	Process	skos:exactMatch	unified_cyber_ontology:Process		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Software	Software	skos:exactMatch	unified_cyber_ontology:Software		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Url	Url	skos:closeMatch	unified_cyber_ontology:URL		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:UserAccount	UserAccount	skos:exactMatch	unified_cyber_ontology:UserAccount		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:WindowsRegistryKey	WindowsRegistryKey	skos:exactMatch	unified_cyber_ontology:WindowsRegistryKey		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:X509Certificate	X509Certificate	skos:exactMatch	unified_cyber_ontology:X509Certificate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:AttackPattern	AttackPattern	skos:relatedMatch	unified_cyber_ontology:Action		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Campaign	Campaign	skos:relatedMatch	unified_cyber_ontology:Grouping		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:CourseOfAction	CourseOfAction	skos:narrowMatch	unified_cyber_ontology:Action		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Grouping	Grouping	skos:exactMatch	unified_cyber_ontology:Grouping		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Identity	Identity	skos:exactMatch	unified_cyber_ontology:Identity		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Location	Location	skos:exactMatch	unified_cyber_ontology:Location		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Malware	Malware	skos:narrowMatch	unified_cyber_ontology:Software		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Note	Note	skos:exactMatch	unified_cyber_ontology:Note		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
attack:Report	Report	skos:relatedMatch	unified_cyber_ontology:Note		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
