# mapping_set_id: "https://w3id.org/lmodel/mappings/common-domain-model.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings for the Rosetta Common Domain Model (CDM) — merged from all lmodel cdm-* modules"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://w3id.org/lmodel/common-domain-model"
# curie_map:
#   common_domain_model: "https://w3id.org/lmodel/common-domain-model/"
#   fpml: "http://www.fpml.org/coding-scheme/"
#   fpml_5_10: "https://www.fpml.org/spec/fpml-5-10#"
#   gist: "https://w3id.org/lmodel/gist/"
#   icma: "https://www.icmagroup.org/market-practice-and-regulatory-policy/"
#   isda: "https://www.isda.org/specifications/"
#   iso29100: "https://w3id.org/lmodel/iso29100/"
#   linkml: "https://w3id.org/linkml/"
#   oscal: "https://w3id.org/lmodel/oscal/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   spdx: "https://spdx.org/rdf/3.0.1/terms/"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
common_domain_model:AdjustableDate	AdjustableDate	skos:closeMatch	fpml_5_10:AdjustableDate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:AdjustableDates	AdjustableDates	skos:closeMatch	fpml_5_10:AdjustableDates		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:AdjustableOrAdjustedDate	AdjustableOrAdjustedDate	skos:closeMatch	fpml_5_10:AdjustableOrAdjustedDate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:AdjustableOrAdjustedOrRelativeDate	AdjustableOrAdjustedOrRelativeDate	skos:closeMatch	fpml_5_10:AdjustableOrAdjustedOrRelativeDate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:AdjustableOrRelativeDate	AdjustableOrRelativeDate	skos:closeMatch	fpml_5_10:AdjustableOrRelativeDate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:AdjustableOrRelativeDates	AdjustableOrRelativeDates	skos:closeMatch	fpml_5_10:AdjustableOrRelativeDates		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:BusinessCenters	BusinessCenters	skos:closeMatch	fpml_5_10:BusinessCenters		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:BusinessCenterTime	BusinessCenterTime	skos:closeMatch	fpml_5_10:BusinessCenterTime		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:BusinessDateRange	BusinessDateRange	skos:closeMatch	fpml_5_10:BusinessDateRange		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:BusinessDayAdjustments	BusinessDayAdjustments	skos:closeMatch	fpml_5_10:BusinessDayAdjustments		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:Period	Period	skos:closeMatch	gist:TimeInterval		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:AveragingSchedule	AveragingSchedule	skos:closeMatch	fpml_5_10:AveragingSchedule		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:AdjustableRelativeOrPeriodicDates	AdjustableRelativeOrPeriodicDates	skos:closeMatch	fpml_5_10:AdjustableRelativeOrPeriodicDates		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:CalculationPeriodFrequency	CalculationPeriodFrequency	skos:closeMatch	fpml_5_10:CalculationPeriodFrequency		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:CalculationFrequency	CalculationFrequency	skos:closeMatch	fpml_5_10:CalculationFrequency		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
common_domain_model:unadjustedDate	unadjustedDate	skos:closeMatch	fpml_5_10:AdjustableDate.unadjustedDate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
common_domain_model:dateAdjustments	dateAdjustments	skos:closeMatch	fpml_5_10:AdjustableDate.dateAdjustments		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
common_domain_model:dateAdjustmentsReference	dateAdjustmentsReference	skos:closeMatch	fpml_5_10:AdjustableDate.dateAdjustmentsReference		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
common_domain_model:adjustedDate	adjustedDate	skos:closeMatch	fpml_5_10:AdjustableDate.adjustedDate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
common_domain_model:relativeDate	relativeDate	skos:closeMatch	fpml_5_10:AdjustableOrAdjustedOrRelativeDate.relativeDate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
common_domain_model:adjustableDate	adjustableDate	skos:closeMatch	fpml_5_10:AdjustableOrRelativeDate.adjustableDate		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
common_domain_model:adjustableDates	adjustableDates	skos:closeMatch	fpml_5_10:AdjustableOrRelativeDates.adjustableDates		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
