# mapping_set_id: "https://w3id.org/lmodel/mappings/cis_controls.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel cis-controls LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-15"
# subject_source: "https://w3id.org/lmodel/cis-controls/"
# curie_map:
#   WIKIDATA: "https://www.wikidata.org/wiki/"
#   cis_controls: "https://w3id.org/lmodel/cis-controls/"
#   dct: "http://purl.org/dc/terms/"
#   iso27001: "https://w3id.org/lmodel/iso27001/"
#   linkml: "https://w3id.org/linkml/"
#   nist_csf_v2: "https://w3id.org/lmodel/nist-csf-v2/"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
cis_controls:CISControl	CISControl	skos:closeMatch	nist_csf_v2:CSFCategory		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:CISControl	CISControl	skos:exactMatch	schema:Action		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:CISControl	CISControl	skos:relatedMatch	WIKIDATA:Q2695280		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:CISControl_id	CISControl_id	skos:exactMatch	nist_csf_v2:id		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:CISControlsDocument	CISControlsDocument	skos:closeMatch	nist_csf_v2:CSFDocument		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:CISControlsDocument	CISControlsDocument	skos:exactMatch	schema:CreativeWork		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:CISControlsDocument	CISControlsDocument	skos:relatedMatch	iso27001:InformationSecurityManagementSystem		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:Safeguard	Safeguard	skos:closeMatch	nist_csf_v2:CSFSubcategory		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:Safeguard	Safeguard	skos:exactMatch	schema:Action		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:Safeguard	Safeguard	skos:relatedMatch	iso27001:SecurityControl		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cis_controls:Safeguard_id	Safeguard_id	skos:exactMatch	nist_csf_v2:id		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:Safeguard_implementation_groups	Safeguard_implementation_groups	skos:relatedMatch	nist_csf_v2:props		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:SecurityFunction	SecurityFunction	skos:closeMatch	nist_csf_v2:CSFFunction		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	enum
cis_controls:controls	controls	skos:closeMatch	nist_csf_v2:groups		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:description	description	skos:closeMatch	nist_csf_v2:prose		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:id	id	skos:exactMatch	nist_csf_v2:id		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:implementation_groups	implementation_groups	skos:relatedMatch	nist_csf_v2:props		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:overview	overview	skos:closeMatch	nist_csf_v2:prose		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:safeguards	safeguards	skos:closeMatch	nist_csf_v2:controls		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:security_function	security_function	skos:closeMatch	nist_csf_v2:groups		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:title	title	skos:exactMatch	nist_csf_v2:title		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cis_controls:version	version	skos:exactMatch	nist_csf_v2:version		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
