# mapping_set_id: "https://w3id.org/lmodel/mappings/cve.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel cve LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-15"
# subject_source: "https://w3id.org/lmodel/cve/"
# curie_map:
#   WIKIDATA: "https://www.wikidata.org/wiki/"
#   cve: "https://w3id.org/lmodel/cve/"
#   cwe: "https://w3id.org/lmodel/cwe/"
#   dct: "http://purl.org/dc/terms/"
#   kev_catalog: "https://w3id.org/lmodel/kev-catalog/"
#   linkml: "https://w3id.org/linkml/"
#   nvd: "https://w3id.org/lmodel/nist-nvd/"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
cve:AffectedProduct	AffectedProduct	skos:relatedMatch	kev_catalog:KevEntry		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CVERecord	CVERecord	skos:closeMatch	nvd:NVDEntry		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CVERecord	CVERecord	skos:exactMatch	WIKIDATA:Q631425		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CVERecord	CVERecord	skos:relatedMatch	kev_catalog:KevEntry		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CpeApplicabilityElement	CpeApplicabilityElement	skos:closeMatch	nvd:CPEConfiguration		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CpeMatch	CpeMatch	skos:exactMatch	nvd:CPEMatch		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CveReference	CveReference	skos:closeMatch	nvd:NVDReference		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CveReference	CveReference	skos:relatedMatch	cwe:ExternalReference		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CvssV2_0	CvssV2_0	skos:narrowMatch	nvd:CVSSMetric		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CvssV3	CvssV3	skos:narrowMatch	nvd:CVSSMetric		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:CvssV4_0	CvssV4_0	skos:narrowMatch	nvd:CVSSMetric		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:MetricEntry	MetricEntry	skos:closeMatch	nvd:MetricSet		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:ProblemType	ProblemType	skos:closeMatch	cwe:Weakness		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:ProblemType	ProblemType	skos:closeMatch	nvd:NVDWeakness		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:ProblemTypeDescription	ProblemTypeDescription	skos:closeMatch	cwe:Weakness		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:ProblemTypeDescription_problem_description	ProblemTypeDescription_problem_description	skos:closeMatch	cwe:Weakness		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	slot
cve:ProviderMetadata	ProviderMetadata	skos:relatedMatch	nvd:ScoreSource		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:TaxonomyMapping	TaxonomyMapping	skos:exactMatch	cwe:TaxonomyMapping		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
cve:TaxonomyRelation	TaxonomyRelation	skos:closeMatch	cwe:Relationship		semapv:ManualMappingCuration	2026-05-15	https://w3id.org/lmodel	class
