# mapping_set_id: "https://w3id.org/lmodel/mappings/cwe.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel cwe LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://w3id.org/lmodel/cwe"
# curie_map:
#   WIKIDATA: "https://www.wikidata.org/wiki/"
#   capec: "https://w3id.org/lmodel/capec/"
#   cve: "https://w3id.org/lmodel/cve/"
#   cwe: "https://w3id.org/lmodel/cwe/"
#   dct: "http://purl.org/dc/terms/"
#   linkml: "https://w3id.org/linkml/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
cwe:Weakness	Weakness	skos:exactMatch	WIKIDATA:Q429785		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:Weakness	Weakness	skos:closeMatch	schema:DefinedTerm		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:Weakness	Weakness	skos:closeMatch	cve:ProblemType		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:Weakness	Weakness	skos:closeMatch	cve:ProblemTypeDescription		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:Weakness	Weakness	skos:closeMatch	cve:problem_description		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:Weakness	Weakness	skos:relatedMatch	cve:cwe_id		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:ExternalReference	ExternalReference	skos:relatedMatch	cve:CveReference		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:TaxonomyMapping	TaxonomyMapping	skos:exactMatch	cve:TaxonomyMapping		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:Relationship	Relationship	skos:closeMatch	cve:TaxonomyRelation		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
cwe:description	description	skos:exactMatch	schema:description		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
cwe:Weakness_description	Weakness_description	skos:exactMatch	schema:description		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
cwe:WeaknessOrdinality_description	WeaknessOrdinality_description	skos:exactMatch	schema:description		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
cwe:DetectionMethod_description	DetectionMethod_description	skos:exactMatch	schema:description		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
cwe:PotentialMitigation_description	PotentialMitigation_description	skos:exactMatch	schema:description		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
cwe:ObservedExample_description	ObservedExample_description	skos:exactMatch	schema:description		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
cwe:string	string	skos:exactMatch	schema:Text		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:integer	integer	skos:exactMatch	schema:Integer		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:boolean	boolean	skos:exactMatch	schema:Boolean		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:float	float	skos:exactMatch	schema:Float		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:double	double	skos:closeMatch	schema:Float		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:decimal	decimal	skos:broadMatch	schema:Number		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:time	time	skos:exactMatch	schema:Time		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:date	date	skos:exactMatch	schema:Date		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:datetime	datetime	skos:exactMatch	schema:DateTime		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
cwe:uri	uri	skos:closeMatch	schema:URL		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
