# mapping_set_id: "https://w3id.org/lmodel/mappings/d3fend.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel d3fend LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://d3fend.mitre.org/ontologies/d3fend.owl"
# curie_map:
#   atlas: "https://atlas.mitre.org/"
#   attack: "https://attack.mitre.org/"
#   capec: "https://capec.mitre.org/data/definitions/"
#   cci: "https://public.cyber.mil/stigs/cci/"
#   cve: "https://nvd.nist.gov/vuln/detail/"
#   cwe: "https://cwe.mitre.org/data/definitions/"
#   d3f: "http://d3fend.mitre.org/ontologies/d3fend.owl#"
#   dbr: "http://dbpedia.org/resource/"
#   dc: "http://purl.org/dc/elements/1.1/"
#   dcterms: "http://purl.org/dc/terms/"
#   linkml: "https://w3id.org/linkml/"
#   mitre-attack: "https://attack.mitre.org/"
#   oscal: "https://lmodel.github.io/oscal/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   sparta: "https://sparta.aerospace.org/"
#   spdx: "https://lmodel.github.io/spdx/"
#   stix: "https://lmodel.github.io/stix/"
#   unified_cyber_ontology: "https://lmodel.github.io/uco-master/"
#   wikidata: "https://www.wikidata.org/wiki/"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
d3f:AML_T0000	AML_T0000	skos:exactMatch	atlas:AML.T0000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0000_000	AML_T0000_000	skos:exactMatch	atlas:AML.T0000.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0000_001	AML_T0000_001	skos:exactMatch	atlas:AML.T0000.001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0000_002	AML_T0000_002	skos:exactMatch	atlas:AML.T0000.002		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0001	AML_T0001	skos:exactMatch	atlas:AML.T0001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0002	AML_T0002	skos:exactMatch	atlas:AML.T0002		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0002_000	AML_T0002_000	skos:exactMatch	atlas:AML.T0002.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0002_001	AML_T0002_001	skos:exactMatch	atlas:AML.T0002.001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0003	AML_T0003	skos:exactMatch	atlas:AML.T0003		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0004	AML_T0004	skos:exactMatch	atlas:AML.T0004		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0005	AML_T0005	skos:exactMatch	atlas:AML.T0005		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0005_000	AML_T0005_000	skos:exactMatch	atlas:AML.T0005.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0005_001	AML_T0005_001	skos:exactMatch	atlas:AML.T0005.001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0005_002	AML_T0005_002	skos:exactMatch	atlas:AML.T0005.002		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0006	AML_T0006	skos:exactMatch	atlas:AML.T0006		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0007	AML_T0007	skos:exactMatch	atlas:AML.T0007		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0008	AML_T0008	skos:exactMatch	atlas:AML.T0008		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0008_000	AML_T0008_000	skos:exactMatch	atlas:AML.T0008.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0008_001	AML_T0008_001	skos:exactMatch	atlas:AML.T0008.001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0008_002	AML_T0008_002	skos:exactMatch	atlas:AML.T0008.002		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0008_003	AML_T0008_003	skos:exactMatch	atlas:AML.T0008.003		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0008_004	AML_T0008_004	skos:exactMatch	atlas:AML.T0008.004		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0010	AML_T0010	skos:exactMatch	atlas:AML.T0010		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0010_000	AML_T0010_000	skos:exactMatch	atlas:AML.T0010.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0010_001	AML_T0010_001	skos:exactMatch	atlas:AML.T0010.001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0010_002	AML_T0010_002	skos:exactMatch	atlas:AML.T0010.002		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0010_003	AML_T0010_003	skos:exactMatch	atlas:AML.T0010.003		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0010_004	AML_T0010_004	skos:exactMatch	atlas:AML.T0010.004		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0011	AML_T0011	skos:exactMatch	atlas:AML.T0011		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0011_000	AML_T0011_000	skos:exactMatch	atlas:AML.T0011.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0011_001	AML_T0011_001	skos:exactMatch	atlas:AML.T0011.001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0012	AML_T0012	skos:exactMatch	atlas:AML.T0012		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0013	AML_T0013	skos:exactMatch	atlas:AML.T0013		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0014	AML_T0014	skos:exactMatch	atlas:AML.T0014		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0015	AML_T0015	skos:exactMatch	atlas:AML.T0015		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0016	AML_T0016	skos:exactMatch	atlas:AML.T0016		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0016_000	AML_T0016_000	skos:exactMatch	atlas:AML.T0016.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0016_001	AML_T0016_001	skos:exactMatch	atlas:AML.T0016.001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0016_002	AML_T0016_002	skos:exactMatch	atlas:AML.T0016.002		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0017	AML_T0017	skos:exactMatch	atlas:AML.T0017		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0017_000	AML_T0017_000	skos:exactMatch	atlas:AML.T0017.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0018	AML_T0018	skos:exactMatch	atlas:AML.T0018		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0018_000	AML_T0018_000	skos:exactMatch	atlas:AML.T0018.000		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0018_001	AML_T0018_001	skos:exactMatch	atlas:AML.T0018.001		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0018_002	AML_T0018_002	skos:exactMatch	atlas:AML.T0018.002		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0019	AML_T0019	skos:exactMatch	atlas:AML.T0019		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0020	AML_T0020	skos:exactMatch	atlas:AML.T0020		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
d3f:AML_T0021	AML_T0021	skos:exactMatch	atlas:AML.T0021		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
