# mapping_set_id: "https://w3id.org/lmodel/mappings/gist.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings for the gist upper ontology (v14.1.0) — merged from all lmodel gist-* modules"
# license: "https://creativecommons.org/licenses/by/4.0/"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://w3id.org/lmodel/gist"
# curie_map:
#   dcterms: "http://purl.org/dc/terms/"
#   gist: "https://w3id.org/lmodel/gist/"
#   gist_upstream: "https://w3id.org/semanticarts/ns/ontology/gist/"
#   gistd: "https://w3id.org/semanticarts/ns/data/gist/"
#   linkml: "https://w3id.org/linkml/"
#   media_app: "https://www.iana.org/assignments/media-types/application/"
#   media_img: "https://www.iana.org/assignments/media-types/image/"
#   media_txt: "https://www.iana.org/assignments/media-types/text/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   sh: "http://www.w3.org/ns/shacl#"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
gist:prevents	prevents	skos:exactMatch	gist_upstream:prohibits		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
gist:AspectInstance/ASPECT_ALTITUDE	ASPECT_ALTITUDE	skos:exactMatch	gistd:_Aspect_altitude		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum AspectInstance
gist:AspectInstance/ASPECT_AREA	ASPECT_AREA	skos:exactMatch	gistd:_Aspect_area		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum AspectInstance
gist:AspectInstance/ASPECT_DURATION	ASPECT_DURATION	skos:exactMatch	gistd:_Aspect_duration		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum AspectInstance
gist:AspectInstance/ASPECT_FINANCIAL_BALANCE	ASPECT_FINANCIAL_BALANCE	skos:exactMatch	gistd:_Aspect_financial_balance		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum AspectInstance
gist:AspectInstance/ASPECT_MASS	ASPECT_MASS	skos:exactMatch	gistd:_Aspect_mass		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum AspectInstance
gist:AspectInstance/ASPECT_MONETARY_VALUE	ASPECT_MONETARY_VALUE	skos:exactMatch	gistd:_Aspect_monetary_value		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum AspectInstance
gist:AspectInstance/ASPECT_PROBABILITY	ASPECT_PROBABILITY	skos:exactMatch	gistd:_Aspect_probability		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum AspectInstance
gist:AspectInstance/ASPECT_VOLUME	ASPECT_VOLUME	skos:exactMatch	gistd:_Aspect_volume		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum AspectInstance
gist:MediaTypeInstance/JSON	JSON	skos:exactMatch	media_app:json		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum MediaTypeInstance
gist:MediaTypeInstance/LD_PLUS_JSON	LD_PLUS_JSON	skos:exactMatch	media_app:ld+json		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum MediaTypeInstance
gist:MediaTypeInstance/N_QUADS	N_QUADS	skos:exactMatch	media_app:n-quads		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum MediaTypeInstance
gist:MediaTypeInstance/N_TRIPLES	N_TRIPLES	skos:exactMatch	media_app:n-triples		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	enum MediaTypeInstance
