# mapping_set_id: "https://w3id.org/lmodel/mappings/nist-csf-v2.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel nist-csf-v2 LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://w3id.org/lmodel/nist-csf-v2"
# curie_map:
#   cis_controls: "https://w3id.org/lmodel/cis-controls/"
#   linkml: "https://w3id.org/linkml/"
#   nist_csf_v2: "https://w3id.org/lmodel/nist-csf-v2/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
nist_csf_v2:CSFDocument	CSFDocument	skos:closeMatch	cis_controls:CISControlsDocument		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
nist_csf_v2:CSFFunction	CSFFunction	skos:closeMatch	cis_controls:SecurityFunction		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
nist_csf_v2:CSFCategory	CSFCategory	skos:closeMatch	cis_controls:CISControl		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
nist_csf_v2:CSFSubcategory	CSFSubcategory	skos:closeMatch	cis_controls:Safeguard		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
nist_csf_v2:groups	groups	skos:closeMatch	cis_controls:controls		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
nist_csf_v2:controls	controls	skos:closeMatch	cis_controls:safeguards		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
nist_csf_v2:id	id	skos:exactMatch	cis_controls:id		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
nist_csf_v2:title	title	skos:exactMatch	cis_controls:title		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
nist_csf_v2:version	version	skos:exactMatch	cis_controls:version		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
nist_csf_v2:prose	prose	skos:closeMatch	cis_controls:description		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
nist_csf_v2:prose	prose	skos:closeMatch	cis_controls:overview		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
nist_csf_v2:CSFCategory_controls	CSFCategory_controls	skos:closeMatch	cis_controls:safeguards		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	slot
nist_csf_v2:string	string	skos:exactMatch	schema:Text		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:integer	integer	skos:exactMatch	schema:Integer		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:boolean	boolean	skos:exactMatch	schema:Boolean		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:float	float	skos:exactMatch	schema:Float		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:double	double	skos:closeMatch	schema:Float		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:decimal	decimal	skos:broadMatch	schema:Number		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:time	time	skos:exactMatch	schema:Time		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:date	date	skos:exactMatch	schema:Date		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:datetime	datetime	skos:exactMatch	schema:DateTime		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
nist_csf_v2:uri	uri	skos:closeMatch	schema:URL		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	type
