# mapping_set_id: "https://w3id.org/lmodel/mappings/ocsf.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings for the Open Cybersecurity Schema Framework (OCSF v1.9.0) — merged from all lmodel ocsf-* modules"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://w3id.org/lmodel/ocsf"
# curie_map:
#   attack: "https://lmodel.github.io/attack/"
#   capec: "https://w3id.org/lmodel/capec/"
#   core: "https://w3id.org/lmodel/vulnerability-core/"
#   cve: "https://w3id.org/lmodel/cve/"
#   cwe: "https://w3id.org/lmodel/cwe/"
#   dcterms: "http://purl.org/dc/terms/"
#   iso27001: "https://w3id.org/lmodel/iso27001/"
#   kev_catalog: "https://w3id.org/lmodel/kev-catalog/"
#   linkml: "https://w3id.org/linkml/"
#   nvd: "https://w3id.org/lmodel/nist-nvd/"
#   ocsf: "https://w3id.org/lmodel/ocsf/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   stix: "https://lmodel.github.io/stix/"
#   uco_master: "https://lmodel.github.io/uco-master/"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
ocsf:ComplianceFinding	ComplianceFinding	skos:closeMatch	iso27001:AuditFinding		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Finding	Finding	skos:relatedMatch	iso27001:Risk		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:VulnerabilityFinding	VulnerabilityFinding	skos:closeMatch	cve:CVERecord		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:VulnerabilityFinding	VulnerabilityFinding	skos:closeMatch	iso27001:Risk		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:VulnerabilityFinding	VulnerabilityFinding	skos:closeMatch	kev_catalog:KevEntry		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:VulnerabilityFinding	VulnerabilityFinding	skos:closeMatch	nvd:NVDEntry		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:VulnerabilityFinding	VulnerabilityFinding	skos:closeMatch	core:Vulnerability		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:VulnerabilityFinding	VulnerabilityFinding	skos:relatedMatch	capec:AttackPattern		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:VulnerabilityFinding	VulnerabilityFinding	skos:relatedMatch	cwe:Weakness		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:LinuxProcess	LinuxProcess	skos:exactMatch	uco_master:UNIXProcess		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:MacosProcess	MacosProcess	skos:closeMatch	uco_master:UNIXProcess		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:WindowsProcess	WindowsProcess	skos:exactMatch	uco_master:WindowsProcess		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:RegKey	RegKey	skos:exactMatch	stix:WindowsRegistryKey		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:RegKey	RegKey	skos:exactMatch	uco_master:WindowsRegistryKey		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:WinService	WinService	skos:closeMatch	uco_master:WindowsActiveDirectoryAccount		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Observable	Observable	skos:closeMatch	uco_master:ObservableObject		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Observation	Observation	skos:exactMatch	uco_master:Observation		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Os	Os	skos:exactMatch	uco_master:OperatingSystem		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Os	Os	skos:closeMatch	stix:Software		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Remediation	Remediation	skos:closeMatch	iso27001:RiskTreatmentPlan		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Remediation	Remediation	skos:relatedMatch	kev_catalog:KevEntry		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Remediation	Remediation	skos:relatedMatch	core:Configuration		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:ThreatActor	ThreatActor	skos:exactMatch	stix:ThreatActor		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:ThreatActor	ThreatActor	skos:closeMatch	attack:Group		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Url	Url	skos:exactMatch	stix:Url		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Url	Url	skos:exactMatch	uco_master:URL		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Vulnerability	Vulnerability	skos:exactMatch	stix:Vulnerability		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Vulnerability	Vulnerability	skos:exactMatch	core:Vulnerability		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Vulnerability	Vulnerability	skos:closeMatch	cve:CVERecord		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
ocsf:Vulnerability	Vulnerability	skos:closeMatch	kev_catalog:KevEntry		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
