# mapping_set_id: "https://w3id.org/lmodel/mappings/stix.sssom.tsv"
# mapping_set_version: "1.0.0"
# mapping_set_description: "SSSOM mappings extracted from the lmodel stix LinkML schema"
# license: "https://www.apache.org/licenses/LICENSE-2.0"
# creator_id: ["https://w3id.org/lmodel"]
# mapping_date: "2026-05-14"
# subject_source: "https://w3id.org/lmodel/stix"
# curie_map:
#   linkml: "https://w3id.org/linkml/"
#   owl: "http://www.w3.org/2002/07/owl#"
#   rdf: "http://www.w3.org/1999/02/22-rdf-syntax-ns#"
#   rdfs: "http://www.w3.org/2000/01/rdf-schema#"
#   schema: "http://schema.org/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   stix: "https://w3id.org/lmodel/stix/"
#   unified_cyber_ontology: "https://w3id.org/lmodel/uco-master/"
#   xsd: "http://www.w3.org/2001/XMLSchema#"

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	comment
stix:ExternalReference	ExternalReference	skos:exactMatch	unified_cyber_ontology:ExternalReference		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:Directory	Directory	skos:exactMatch	unified_cyber_ontology:Directory		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:DomainName	DomainName	skos:exactMatch	unified_cyber_ontology:DomainName		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:EmailAddr	EmailAddr	skos:closeMatch	unified_cyber_ontology:EmailAddress		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:EmailMessage	EmailMessage	skos:exactMatch	unified_cyber_ontology:EmailMessage		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:File	File	skos:exactMatch	unified_cyber_ontology:File		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:Ipv4Addr	Ipv4Addr	skos:closeMatch	unified_cyber_ontology:IPv4Address		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:Ipv6Addr	Ipv6Addr	skos:closeMatch	unified_cyber_ontology:IPv6Address		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:MacAddr	MacAddr	skos:closeMatch	unified_cyber_ontology:MACAddress		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
stix:Mutex	Mutex	skos:exactMatch	unified_cyber_ontology:Mutex		semapv:ManualMappingCuration	2026-05-14	https://w3id.org/lmodel	class
